,ip,frequency,org,city,country,region,postal,hostname,location,timezone
0,54.39.130.200,513038,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,ns572703.ip-54-39-130.net,"45.5040,-73.5747",America/Toronto
1,5.182.201.201,448390,AS197540 netcup GmbH,Berlin,DE,Berlin,10963,hosting.frachtwerk.de,"52.5003,13.3813",Europe/Berlin
2,172.25.0.3,179390,0,0,0,0,0,0,0,0
3,95.156.250.54,134006,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
4,213.186.33.5,125511,AS16276 OVH SAS,Paris,FR,Île-de-France,75000,redirect.ovh.net,"48.8534,2.3488",Europe/Paris
5,46.251.234.89,124989,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
6,164.90.185.34,97080,"AS14061 DigitalOcean, LLC",Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
7,45.237.108.30,91261,AS262481 NEOREDE TELECOMUNICAÇÃO EIRELI - EPP,Florianópolis,BR,Santa Catarina,88000-000,0,"-27.5967,-48.5492",America/Sao_Paulo
8,74.91.115.69,91037,"AS14586 Nuclearfallout Enterprises, Inc.",Clifton,US,New Jersey,07015,v-74-91-115-69.unman-vds.premium-chicago.nfoservers.com,"40.8584,-74.1638",America/New_York
9,104.153.105.250,86857,"AS14586 Nuclearfallout Enterprises, Inc.",Columbus,US,Ohio,43215,c-104-153-105-250.premium-chicago.nfoservers.com,"39.9612,-82.9988",America/New_York
10,54.36.118.81,85994,AS16276 OVH SAS,Roubaix,FR,Hauts-de-France,59051 CEDEX 1,0,"50.6942,3.1746",Europe/Paris
11,74.91.122.238,85621,"AS14586 Nuclearfallout Enterprises, Inc.",Chicago,US,Illinois,60666,c-74-91-122-238.premium-chicago.nfoservers.com,"41.8500,-87.6500",America/Chicago
12,103.200.23.21,83807,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,Ho Chi Minh City,VN,Ho Chi Minh,71606,0,"10.8230,106.6296",Asia/Ho_Chi_Minh
13,95.156.220.75,78859,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
14,70.161.111.27,78087,AS22773 Cox Communications Inc.,Norfolk,US,Virginia,23514,ip70-161-111-27.hr.hr.cox.net,"36.8468,-76.2852",America/New_York
15,93.240.88.37,70849,AS3320 Deutsche Telekom AG,Weilheim,DE,Bavaria,82362,p5df05825.dip0.t-ipconnect.de,"47.8415,11.1548",Europe/Berlin
16,46.251.234.84,69496,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
17,46.251.234.86,69257,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
18,109.230.243.35,68654,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
19,45.129.33.149,68082,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
20,85.190.153.96,67677,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
21,45.129.33.145,67247,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
22,162.248.94.189,66291,"AS32751 Nuclearfallout Enterprises, Inc.",Concord,US,California,94522,lumsec.exophobian.com,"37.9780,-122.0311",America/Los_Angeles
23,5.62.127.243,65329,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
24,85.190.149.67,65057,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
25,87.251.74.18,64553,AS204490 Kontel LLC,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
26,45.9.62.57,64431,AS197540 netcup GmbH,Münster,DE,North Rhine-Westphalia,48079,v220200532033117841.goodsrv.de,"51.9624,7.6257",Europe/Berlin
27,134.255.240.74,64162,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
28,47.242.30.38,64028,"AS45102 Alibaba (US) Technology Co., Ltd.",Beijing,CN,Beijing,0,0,"39.9075,116.3972",Asia/Shanghai
29,45.129.33.143,60680,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
30,94.102.49.159,60665,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
31,45.129.33.148,59973,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
32,94.102.53.112,59166,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
33,45.129.33.147,59158,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
34,103.200.23.169,58466,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,Ho Chi Minh City,VN,Ho Chi Minh,71606,0,"10.8230,106.6296",Asia/Ho_Chi_Minh
35,185.26.115.135,58408,AS48287 JSC RU-CENTER,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
36,31.214.160.43,57785,AS199610 marbis GmbH,Karlsruhe,DE,Baden-Württemberg,76133,0,"49.0094,8.4044",Europe/Berlin
37,45.129.33.142,57638,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
38,194.26.25.118,57280,AS63018 Dedicated.com,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
39,45.129.33.141,56074,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
40,76.127.99.250,54346,"AS7922 Comcast Cable Communications, LLC",Stockton,US,California,95201,c-76-127-99-250.hsd1.ca.comcast.net,"37.9577,-121.2908",America/Los_Angeles
41,45.129.33.51,53475,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
42,95.156.220.80,53161,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
43,45.146.164.169,52051,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
44,45.159.7.16,49384,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
45,85.190.149.136,47645,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
46,45.129.33.144,46126,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
47,193.27.228.100,45081,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
48,45.129.33.2,45019,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
49,45.129.33.3,44615,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
50,166.170.222.13,44481,AS20057 AT&T Mobility LLC,Chicago,US,Illinois,60666,mobile-166-170-222-13.mycingular.net,"41.8500,-87.6500",America/Chicago
51,72.140.86.99,41021,AS812 Rogers Communications Canada Inc.,Toronto,CA,Ontario,M5N,cpe9050cab64c93-cm9050cab64c90.cpe.net.fido.ca,"43.7001,-79.4163",America/Toronto
52,45.129.33.153,40505,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
53,193.27.228.173,40080,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
54,193.27.228.174,40078,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
55,193.27.228.32,40071,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
56,193.27.228.130,40070,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
57,193.27.228.98,40050,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
58,45.145.66.96,40008,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
59,89.248.174.199,39886,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
60,193.27.228.172,39854,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
61,80.82.65.60,39755,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
62,149.56.17.122,39499,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,kkk.bz,"45.5040,-73.5747",America/Toronto
63,85.190.157.56,38507,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
64,72.221.122.25,37268,AS22773 Cox Communications Inc.,Providence,US,Rhode Island,02901,ip72-221-122-25.ri.ri.cox.net,"41.8240,-71.4128",America/New_York
65,45.129.33.101,36699,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
66,174.80.49.147,36098,AS20115 Charter Communications,Columbia,US,Tennessee,38401,174-080-049-147.res.spectrum.com,"35.6151,-87.0353",America/Chicago
67,45.129.33.24,35871,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
68,24.90.71.139,35849,AS12271 Charter Communications Inc,Fresh Meadows,US,New York,11355,cpe-24-90-71-139.nyc.res.rr.com,"40.7536,-73.8226",America/New_York
69,185.193.91.250,35796,AS44446 OOO SibirInvest,Odessa,UA,Odessa,65000,0,"46.4857,30.7438",Europe/Kiev
70,94.102.49.114,35201,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
71,195.54.160.85,35070,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
72,45.129.33.84,34623,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
73,45.129.33.13,34248,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
74,45.150.206.103,34035,AS35029 WebLine LTD,Moscow,RU,Moscow,119146,0,"55.7522,37.6156",Europe/Moscow
75,45.129.33.8,33710,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
76,45.129.33.10,33693,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
77,45.129.33.12,33684,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
78,45.129.33.82,33538,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
79,45.129.33.9,33372,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
80,45.129.33.15,33365,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
81,74.138.5.187,32881,AS10796 Charter Communications Inc,Louisville,US,Kentucky,40206,cpe-74-138-5-187.kya.res.rr.com,"38.2503,-85.7034",America/Kentucky/Louisville
82,45.129.33.129,31812,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
83,146.88.240.4,31555,"AS20052 Arbor Networks, Inc.",Southfield,US,Michigan,48086,www.arbor-observatory.com,"42.4734,-83.2219",America/Detroit
84,191.32.182.204,30859,AS18881 TELEFÔNICA BRASIL S.A,Vila Velha,BR,Espírito Santo,29100-000,191.32.182.204.dynamic.adsl.gvt.net.br,"-20.3297,-40.2925",America/Sao_Paulo
85,162.248.88.18,30858,"AS14586 Nuclearfallout Enterprises, Inc.",Chicago,US,Illinois,60666,v-162-248-88-18.unman-vds.premium-chicago.nfoservers.com,"41.8500,-87.6500",America/Chicago
86,85.190.157.58,30806,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
87,71.156.76.189,30197,"AS7018 AT&T Services, Inc.",Johns Creek,US,Georgia,30022,71-156-76-189.lightspeed.tukrga.sbcglobal.net,"34.0289,-84.1986",America/New_York
88,195.54.161.225,30079,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
89,69.226.229.188,30046,"AS7018 AT&T Services, Inc.",Johns Creek,US,Georgia,30022,69-226-229-188.lightspeed.tukrga.sbcglobal.net,"34.0289,-84.1986",America/New_York
90,185.39.10.14,30000,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
91,80.82.77.132,29982,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
92,213.59.4.26,29922,AS8342 JSC RTComm.RU,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
93,68.82.197.159,29245,"AS33287 Comcast Cable Communications, LLC",Philadelphia,US,Pennsylvania,19099,c-68-82-197-159.hsd1.pa.comcast.net,"39.9523,-75.1638",America/New_York
94,74.129.56.97,28759,AS10796 Charter Communications Inc,Evansville,US,Indiana,47711,cpe-74-129-56-97.kya.res.rr.com,"38.0617,-87.5548",America/Chicago
95,45.129.33.100,28421,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
96,85.190.153.49,28265,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
97,45.129.33.6,26997,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
98,24.126.241.171,26815,"AS7725 Comcast Cable Communications, LLC",Atlanta,US,Georgia,30302,c-24-126-241-171.hsd1.ga.comcast.net,"33.7490,-84.3880",America/New_York
99,45.129.33.5,26583,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
100,83.97.20.35,26494,AS9009 M247 Ltd,Bucharest,RO,Bucureşti,020011,35.20.97.83.ro.ovo.sc,"44.4323,26.1063",Europe/Bucharest
101,24.193.174.36,26080,AS12271 Charter Communications Inc,Palisades Park,US,New Jersey,07650,cpe-24-193-174-36.nj.res.rr.com,"40.8482,-73.9976",America/New_York
102,193.27.229.196,26012,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
103,193.27.229.193,25964,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
104,193.27.229.195,25927,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
105,193.27.229.194,25920,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
106,193.27.229.192,25836,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
107,45.129.33.58,25819,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
108,88.214.24.77,25779,AS43350 NForce Entertainment B.V.,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
109,51.79.167.239,25518,AS16276 OVH SAS,Singapore,SG,Singapore,048508,vps-b5d315cb.vps.ovh.ca,"1.2897,103.8501",Asia/Singapore
110,72.80.147.170,25412,"AS701 MCI Communications Services, Inc. d/b/a Verizon Business",New York City,US,New York,10004,pool-72-80-147-170.nycmny.fios.verizon.net,"40.7143,-74.0060",America/New_York
111,185.132.53.18,24973,AS24961 myLoc managed IT AG,Düsseldorf,DE,North Rhine-Westphalia,40212,poweredvps.com,"51.2217,6.7762",Europe/Berlin
112,99.203.13.59,24965,AS10507 Sprint Personal Communications Systems,Lincoln,US,Nebraska,68510,ip-99-203-13-59.pools.spcsdns.net,"40.8000,-96.6670",America/Chicago
113,183.136.225.45,24917,AS58461 CT-HangZhou-IDC,Shanghai,CN,Shanghai,0,0,"31.2222,121.4581",Asia/Shanghai
114,85.190.159.254,24248,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
115,108.56.213.190,23931,"AS701 MCI Communications Services, Inc. d/b/a Verizon Business",Washington,US,"Washington, D.C.",20045,pool-108-56-213-190.washdc.fios.verizon.net,"38.8951,-77.0364",America/New_York
116,68.230.204.230,23722,AS22773 Cox Communications Inc.,Norfolk,US,Virginia,23514,ip68-230-204-230.rd.hr.cox.net,"36.8468,-76.2852",America/New_York
117,192.168.137.52,23297,0,0,0,0,0,0,0,0
118,95.156.209.123,23285,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
119,87.251.74.62,23077,AS204490 Kontel LLC,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
120,89.248.160.139,21967,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
121,108.12.216.188,21912,"AS701 MCI Communications Services, Inc. d/b/a Verizon Business",Providence,US,Rhode Island,02901,pool-108-12-216-188.prvdri.fios.verizon.net,"41.8240,-71.4128",America/New_York
122,185.193.90.250,21729,0,Krasnoobsk,RU,Novosibirsk Oblast,630105,0,"54.8490,83.1072",Asia/Novosibirsk
123,109.230.214.196,21427,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
124,134.255.214.196,21278,AS199610 marbis GmbH,New York City,US,New York,10004,0,"40.7143,-74.0060",America/New_York
125,45.159.7.8,21200,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
